nregistro,nombre,principios_activos,pdf_url
83488,ADISOCOL 450 MG COMPRIMIDOS EFG,ácido ursodeoxicólico,https://cima.aemps.es/cima/pdfs/ft/83488/FT_83488.pdf
58049,ADOFEN 20 mg CAPSULAS DURAS,fluoxetina,https://cima.aemps.es/cima/pdfs/ft/58049/FT_58049.pdf
61784,ADOLONTA RETARD 100 mg COMPRIMIDOS DE LIBERACION PROLONGADA,tramadol,https://cima.aemps.es/cima/pdfs/ft/61784/FT_61784.pdf
61785,ADOLONTA RETARD 150 mg COMPRIMIDOS DE LIBERACION PROLONGADA,tramadol,https://cima.aemps.es/cima/pdfs/ft/61785/FT_61785.pdf
61786,ADOLONTA RETARD 200 mg COMPRIMIDOS DE LIBERACION PROLONGADA,tramadol,https://cima.aemps.es/cima/pdfs/ft/61786/FT_61786.pdf
68570,ADOLONTA RETARD 50 mg COMPRIMIDOS DE LIBERACION PROLONGADA,tramadol,https://cima.aemps.es/cima/pdfs/ft/68570/FT_68570.pdf
61617,ADOLONTA 100 mg/ ml SOLUCION ORAL,tramadol,https://cima.aemps.es/cima/pdfs/ft/61617/FT_61617.pdf
59086,ADOLONTA 100 mg/2 ml SOLUCION INYECTABLE Y PARA PERFUSION,tramadol,https://cima.aemps.es/cima/pdfs/ft/59086/FT_59086.pdf
59088,ADOLONTA 50 mg CAPSULAS DURAS,tramadol,https://cima.aemps.es/cima/pdfs/ft/59088/FT_59088.pdf
77395,ADOLQUIR 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,dexketoprofeno,https://cima.aemps.es/cima/pdfs/ft/77395/FT_77395.pdf
77394,ADOLQUIR 25 MG GRANULADO PARA SOLUCION ORAL EFG,dexketoprofeno,https://cima.aemps.es/cima/pdfs/ft/77394/FT_77394.pdf
71673,"ADOPORT 0,5 mg CAPSULAS DURAS EFG",tacrolimus,https://cima.aemps.es/cima/pdfs/ft/71673/FT_71673.pdf
71674,ADOPORT 1 mg CAPSULAS DURAS EFG,tacrolimus,https://cima.aemps.es/cima/pdfs/ft/71674/FT_71674.pdf
79456,ADOPORT 2 MG CAPSULAS DURAS,tacrolimus,https://cima.aemps.es/cima/pdfs/ft/79456/FT_79456.pdf
71675,ADOPORT 5 mg CAPSULAS DURAS EFG,tacrolimus,https://cima.aemps.es/cima/pdfs/ft/71675/FT_71675.pdf
06364002,ADROVANCE 70 MG/2.800 UI COMPRIMIDOS,ácido alendrónico + colecalciferol,https://cima.aemps.es/cima/pdfs/ft/06364002/FT_06364002.pdf
06364007,ADROVANCE 70 MG/5.600 UI COMPRIMIDOS,ácido alendrónico + colecalciferol,https://cima.aemps.es/cima/pdfs/ft/06364007/FT_06364007.pdf
62476,"ADULAX 7,5 G SOLUCIÓN RECTAL",glicerol,https://cima.aemps.es/cima/pdfs/ft/62476/FT_62476.pdf
07387014,"ADVAGRAF 0,5 MG CAPSULAS DURAS DE LIBERACION PROLONGADA",tacrolimus,https://cima.aemps.es/cima/pdfs/ft/07387014/FT_07387014.pdf
07387017,ADVAGRAF 1 MG CAPSULAS DURAS DE LIBERACION PROLONGADA,tacrolimus,https://cima.aemps.es/cima/pdfs/ft/07387017/FT_07387017.pdf
07387019,ADVAGRAF 1 MG CAPSULAS DURAS DE LIBERACION PROLONGADA,tacrolimus,https://cima.aemps.es/cima/pdfs/ft/07387019/FT_07387019.pdf
07387021,ADVAGRAF 3 MG CAPSULAS DURAS DE LIBERACION PROLONGADA,tacrolimus,https://cima.aemps.es/cima/pdfs/ft/07387021/FT_07387021.pdf
